Computed a variance of 0.210820
=====
Starting experiment.
    learning_rate : 0.1
    |D|           : 5000
    epoch_patience: 100
    results_file  : results.csv
    models_file   : models.csv
=====
            
epoch=389, mse_train=796019753.180429, mse_validation=320073807.663224
epoch=390, mse_train=795846677.791981, mse_validation=319994305.600965
epoch=391, mse_train=795674318.238062, mse_validation=319915131.034423
epoch=392, mse_train=795502671.232977, mse_validation=319836282.468417
epoch=393, mse_train=795331733.507077, mse_validation=319757758.415042
epoch=394, mse_train=795161501.806678, mse_validation=319679557.393640
epoch=395, mse_train=794991972.893971, mse_validation=319601677.930755
epoch=396, mse_train=794823143.546945, mse_validation=319524118.560097
epoch=397, mse_train=794655010.559304, mse_validation=319446877.822508
epoch=398, mse_train=794487570.740382, mse_validation=319369954.265920
epoch=399, mse_train=794320820.915071, mse_validation=319293346.445326
epoch=400, mse_train=794154757.923724, mse_validation=319217052.922734
epoch=401, mse_train=793989378.622093, mse_validation=319141072.267136
epoch=402, mse_train=793824679.881236, mse_validation=319065403.054472
epoch=403, mse_train=793660658.587447, mse_validation=318990043.867593
epoch=404, mse_train=793497311.642162, mse_validation=318914993.296224
epoch=405, mse_train=793334635.961908, mse_validation=318840249.936929
epoch=406, mse_train=793172628.478178, mse_validation=318765812.393077
epoch=407, mse_train=793011286.137427, mse_validation=318691679.274808
epoch=408, mse_train=792850605.900908, mse_validation=318617849.198993
epoch=409, mse_train=792690584.744663, mse_validation=318544320.789203
epoch=410, mse_train=792531219.659413, mse_validation=318471092.675673
epoch=411, mse_train=792372507.650493, mse_validation=318398163.495271
epoch=412, mse_train=792214445.737771, mse_validation=318325531.891457
epoch=413, mse_train=792057030.955583, mse_validation=318253196.514256
epoch=414, mse_train=791900260.352642, mse_validation=318181156.020219
epoch=415, mse_train=791744130.991983, mse_validation=318109409.072394
epoch=416, mse_train=791588639.950874, mse_validation=318037954.340286
epoch=417, mse_train=791433784.320750, mse_validation=317966790.499831
epoch=418, mse_train=791279561.207129, mse_validation=317895916.233360
epoch=419, mse_train=791125967.729566, mse_validation=317825330.229561
epoch=420, mse_train=790973001.021550, mse_validation=317755031.183457
epoch=421, mse_train=790820658.230447, mse_validation=317685017.796364
epoch=422, mse_train=790668936.517426, mse_validation=317615288.775861
epoch=423, mse_train=790517833.057394, mse_validation=317545842.835762
epoch=424, mse_train=790367345.038920, mse_validation=317476678.696078
epoch=425, mse_train=790217469.664159, mse_validation=317407795.082991
epoch=426, mse_train=790068204.148792, mse_validation=317339190.728817
epoch=427, mse_train=789919545.721949, mse_validation=317270864.371978
epoch=428, mse_train=789771491.626159, mse_validation=317202814.756967
epoch=429, mse_train=789624039.117241, mse_validation=317135040.634322
epoch=430, mse_train=789477185.464278, mse_validation=317067540.760594
epoch=431, mse_train=789330927.949524, mse_validation=317000313.898311
epoch=432, mse_train=789185263.868353, mse_validation=316933358.815953
epoch=433, mse_train=789040190.529172, mse_validation=316866674.287920
epoch=434, mse_train=788895705.253376, mse_validation=316800259.094498
